facility,time,tavg_C,tavg_F,tmin_C,tmin_F,tmax_C,tmax_F,prcp,snow,wdir,wspd,wpgt,pres,tsun
WAU,4/5/2024,3.4,38.12,0,32,9,48.2,0,0,3,10.2,,1020,
WAU,4/6/2024,3.4,38.12,-3,26.6,10,50,0,0,55,8,,1023.3,
WAU,4/7/2024,4,39.2,-1,30.2,7,44.6,5.8,0,102,16.5,,1015.6,
WAU,4/8/2024,10.3,50.54,4,39.2,17,62.6,0,0,195,15.4,,1010.7,
WAU,4/9/2024,9.6,49.28,5,41,14,57.2,0,0,271,11.7,,1011.8,
WAU,4/10/2024,11.5,52.7,5,41,18,64.4,0,0,220,9.5,,1012.6,
WAU,4/11/2024,9.8,49.64,7,44.6,13,55.4,0,0,24,7.4,,1003.6,
WAU,4/12/2024,9.4,48.92,7,44.6,14,57.2,1.9,0,303,21.8,,1008.2,
WAU,4/13/2024,11.6,52.88,2,35.6,19,66.2,0,0,253,12.4,,1014.8,
WAU,4/14/2024,17.6,63.68,9,48.2,25,77,0,0,288,16.5,,1006.6,
WAU,4/15/2024,13.1,55.58,4,39.2,21,69.8,0,0,8,8.1,,1015.8,
WAU,4/16/2024,11,51.8,6,42.8,16,60.8,14.4,0,85,21,,1013.4,
WAU,4/17/2024,12.3,54.14,10,50,16,60.8,7.2,0,234,23.5,,1004.3,
WAU,4/18/2024,7.7,45.86,6,42.8,10,50,9.5,0,270,9.2,,1017,
WAU,4/19/2024,5.6,42.08,1,33.8,11,51.8,0,0,275,28,,1017.8,
WAU,4/20/2024,1.8,35.24,-1,30.2,4,39.2,0,0,271,19.2,,1021.7,
WAU,4/21/2024,5.6,42.08,-2,28.4,13,55.4,0,0,269,14.5,,1020.3,
WAU,4/22/2024,10.3,50.54,0,32,17,62.6,0,0,230,13.8,,1014.9,
WAU,4/23/2024,13,55.4,5,41,19,66.2,1.2,0,250,22.5,,1007.4,
WAU,4/24/2024,3.2,37.76,-1,30.2,8,46.4,0,0,31,12.2,,1024.1,
WAU,4/25/2024,5.2,41.36,-3,26.6,12,53.6,0,0,77,8.5,,1026.2,
WAU,4/26/2024,7.4,45.32,1,33.8,11.1,51.98,4.1,0,111,21.1,,1017.5,
WAU,4/27/2024,18.3,64.94,10,50,24,75.2,6.6,0,202,20.9,,1009.7,
WAU,4/28/2024,9.1,48.38,6,42.8,14,57.2,13.2,0,69,14.6,,1013.2,
WAU,4/29/2024,13.8,56.84,9,48.2,19,66.2,2.3,0,236,12.9,,1009.4,
WAU,4/30/2024,13,55.4,5,41,20,68,0.3,0,229,12.9,,1012.2,
WAU,5/1/2024,16.8,62.24,12,53.6,21,69.8,6.1,0,268,18.4,,1011.4,
WAU,5/2/2024,13.5,56.3,11,51.8,19,66.2,12.9,0,68,12.8,,1013.5,
WAU,5/3/2024,14.7,58.46,7,44.6,21,69.8,7,0,356,10,,1016.3,
WAU,5/4/2024,13.5,56.3,4,39.2,23,73.4,10.2,0,50,9.9,,1014.4,
WAU,5/5/2024,11.7,53.06,7,44.6,17,62.6,0,0,34,11.9,,1018.1,
WAU,5/6/2024,12.6,54.68,7,44.6,18,64.4,0,0,70,10.7,,1015.3,
WAU,5/7/2024,12.2,53.96,8,46.4,18,64.4,23.3,0,117,14.7,,1003,
WAU,5/8/2024,14.6,58.28,7,44.6,23,73.4,0,0,356,9.8,,1006.5,
WAU,5/9/2024,10.4,50.72,9,48.2,13,55.4,2.1,0,48,11.6,,1011,
WAU,5/10/2024,12.7,54.86,5,41,18,64.4,1.8,0,285,10.5,,1011.4,
WAU,5/11/2024,12.1,53.78,8,46.4,18,64.4,0,0,306,16.4,,1009.4,
WAU,5/12/2024,16.6,61.88,6,42.8,27,80.6,1.2,0,224,10.8,,1008.9,
WAU,5/13/2024,16.5,61.7,11,51.8,21,69.8,3.9,0,233,12.6,,1008.4,
WAU,5/14/2024,10.5,50.9,8,46.4,14,57.2,1.7,0,42,16.4,,1011.4,
WAU,5/15/2024,12.4,54.32,6,42.8,18,64.4,0,0,45,12.5,,1012.8,
WAU,5/16/2024,14.8,58.64,6,42.8,23,73.4,13.3,0,163,7.9,,1009.4,
WAU,5/17/2024,17,62.6,10,50,23,73.4,0,0,49,6.3,,1009.2,
WAU,5/18/2024,20.5,68.9,9,48.2,28,82.4,0,0,217,8.7,,1010.6,
WAU,5/19/2024,18.8,65.84,13,55.4,22,71.6,0.2,0,46,12.5,,1015.5,
WAU,5/20/2024,14.6,58.28,11,51.8,18,64.4,14.4,0,65,11.2,,1012.3,
WAU,5/21/2024,18.5,65.3,13,55.4,26,78.8,0.5,0,116,14.8,,1006.8,
WAU,5/22/2024,16.5,61.7,13,55.4,20,68,6.9,0,238,19.8,,1006.4,
WAU,5/23/2024,17.5,63.5,11,51.8,24,75.2,0,0,226,10.2,,1013.2,
WAU,5/24/2024,15.4,59.72,10,50,20,68,10.1,0,93,10.9,,1009,
WAU,5/25/2024,15.8,60.44,9,48.2,22,71.6,1.8,0,284,13.1,,1011.2,
WAU,5/26/2024,13.7,56.66,11,51.8,16,60.8,8.1,0,134,14.7,,1004.6,
WAU,5/27/2024,14.6,58.28,11,51.8,19,66.2,0.2,0,293,19.9,,1005,
WAU,5/28/2024,13.6,56.48,11,51.8,19,66.2,15.4,0,298,11.1,,1014.6,
WAU,5/29/2024,13.1,55.58,5,41,18,64.4,0.9,0,3,11.7,,1022.1,
WAU,5/30/2024,11.9,53.42,4,39.2,19,66.2,0,0,44,7.2,,1024.1,
WAU,5/31/2024,15.1,59.18,2,35.6,23,73.4,0,0,126,9.9,,1022.3,
WAU,6/1/2024,14.7,58.46,13,55.4,19,66.2,7,0,93,9.7,,1016.6,
WAU,6/2/2024,17.1,62.78,11,51.8,24.6,76.28,0,0,334,7.6,,1015.5,
WAU,6/3/2024,17.9,64.22,11,51.8,25,77,13.1,0,123,14.7,,1011.1,
WAU,6/4/2024,21.4,70.52,16,60.8,26,78.8,2,0,129,11.8,,1007.8,
WAU,6/5/2024,19.7,67.46,15,59,24,75.2,13.1,0,239,17.7,,1002.5,
WAU,6/6/2024,16.8,62.24,13,55.4,20,68,0,0,268,20.6,,1003.7,
WAU,6/7/2024,17.3,63.14,12,53.6,22,71.6,0,0,281,19.9,,1009.1,
WAU,6/8/2024,13.7,56.66,10,50,18,64.4,6.6,0,341,5.9,,1011.1,
WAU,6/9/2024,16.6,61.88,11,51.8,23,73.4,0,0,297,17.6,,1011.8,
WAU,6/10/2024,13.5,56.3,8,46.4,19,66.2,0,0,5,10.7,,1016,
WAU,6/11/2024,15.3,59.54,6,42.8,23,73.4,0,0,235,7.9,,1015.3,
WAU,6/12/2024,21.9,71.42,14,57.2,29,84.2,0,0,250,9,,1011.9,
WAU,6/13/2024,22.6,72.68,17,62.6,27,80.6,0,0,252,13,,1010.7,
WAU,6/14/2024,18.3,64.94,13,55.4,23,73.4,0,0,31,9.9,,1017.1,
WAU,6/15/2024,18.7,65.66,12,53.6,24,75.2,0,0,91,10.6,,1018.8,
WAU,6/16/2024,22.1,71.78,16,60.8,31,87.8,11,0,164,15,,1011.9,
WAU,6/17/2024,25.7,78.26,19,66.2,31,87.8,0.3,0,234,11.7,,1012.6,
WAU,6/18/2024,26.1,78.98,22,71.6,31,87.8,0,0,186,18.1,,1014.4,
WAU,6/19/2024,24.8,76.64,21,69.8,29,84.2,3.2,0,241,14,,1021.9,
WAU,6/20/2024,19.3,66.74,16,60.8,23,73.4,2.1,0,39,10.3,,1026.3,
WAU,6/21/2024,20,68,16,60.8,29,84.2,8.2,0,71,7.1,,1022,
WAU,6/22/2024,20.5,68.9,16,60.8,25,77,58.3,0,206,11.5,,1011,
WAU,6/23/2024,18.8,65.84,16,60.8,22,71.6,0.2,0,293,14.3,,1009.2,
WAU,6/24/2024,21.1,69.98,13,55.4,27.2,80.96,0,0,109,9.9,,1013.2,
WAU,6/25/2024,24.7,76.46,19,66.2,30.5,86.9,0.1,0,237,16.9,,1007.4,
WAU,6/26/2024,21.4,70.52,15,59,27,80.6,0.1,0,306,13.6,,1011.3,
WAU,6/27/2024,16.3,61.34,11,51.8,21,69.8,0,0,64,8.3,,1017,
WAU,6/28/2024,17.8,64.04,15,59,21,69.8,3.4,0,155,12.2,,1011.2,
WAU,6/29/2024,22,71.6,17,62.6,27,80.6,3.1,0,265,15.8,,1011.6,
WAU,6/30/2024,15.3,59.54,11,51.8,20,68,0,0,342,12.6,,1025.3,
WAU,7/1/2024,15.5,59.9,9,48.2,20,68,0,0,82,10.2,,1025.1,
WAU,7/2/2024,17.4,63.32,16,60.8,23,73.4,13.9,0,123,12.4,,1015.2,
WAU,7/3/2024,22.8,73.04,18,64.4,28,82.4,11.5,0,250,13.4,,1012.4,
WAU,7/4/2024,21.5,70.7,17,62.6,26,78.8,0.2,0,331,6.8,,1013.5,
WAU,7/5/2024,19.4,66.92,17,62.6,23,73.4,6.3,0,309,11.1,,1009.7,
WAU,7/6/2024,19.6,67.28,14,57.2,25,77,0,0,309,7.7,,1014.5,
WAU,7/7/2024,19.5,67.1,15,59,25,77,5.5,0,171,10.1,,1016.1,
WAU,7/8/2024,22.1,71.78,18,64.4,27,80.6,4.6,0,239,9.9,,1014.4,
WAU,7/9/2024,20.9,69.62,17,62.6,26,78.8,0.6,0,31,4.9,,1013.8,
WAU,7/10/2024,20.8,69.44,16,60.8,26,78.8,1.8,0,344,9.8,,1013.2,
WAU,7/11/2024,20.5,68.9,16,60.8,26,78.8,0,0,53,6.4,,1019.2,
WAU,7/12/2024,21.2,70.16,13,55.4,27,80.6,0,0,35,4,,1020.7,
WAU,7/13/2024,22.3,72.14,15,59,29,84.2,6.9,0,177,9.2,,1020,
WAU,7/14/2024,22.4,72.32,18,64.4,28,82.4,8.1,0,249,14.3,,1013.8,
WAU,7/15/2024,23.8,74.84,18,64.4,29,84.2,39.5,0,236,9.4,,1009.5,
WAU,7/16/2024,22.5,72.5,18,64.4,27,80.6,1.4,0,289,11.2,,1009.8,
WAU,7/17/2024,19.3,66.74,16,60.8,23,73.4,0,0,316,15,,1016.5,
WAU,7/18/2024,17.5,63.5,12,53.6,23,73.4,0,0,325,6.8,,1022.8,
WAU,7/19/2024,18.7,65.66,12,53.6,24,75.2,0,0,255,6.8,,1021.9,
WAU,7/20/2024,20.2,68.36,14,57.2,26,78.8,0,0,290,6.8,,1020.2,
WAU,7/21/2024,19.6,67.28,15,59,25,77,4.3,0,32,6.9,,1020.2,
WAU,7/22/2024,20.4,68.72,13,55.4,26,78.8,0,0,21,4.9,,1017.8,
WAU,7/23/2024,20.1,68.18,16,60.8,25,77,13.1,0,288,9.5,,1016.4,
WAU,7/24/2024,18.5,65.3,15,59,22,71.6,1.4,0,12,6.4,,1021.5,
WAU,7/25/2024,17.6,63.68,12,53.6,23,73.4,0,0,38,5.5,,1024.6,
WAU,7/26/2024,18,64.4,11,51.8,24,75.2,0,0,62,6,,1022.8,
WAU,7/27/2024,20.3,68.54,12,53.6,27,80.6,0,0,126,8.4,,1019.7,
WAU,7/28/2024,20.7,69.26,15,59,26,78.8,5.9,0,129,9.2,,1015.7,
WAU,7/29/2024,21.5,70.7,19,66.2,24,75.2,10.7,0,71,5.8,,1011.1,
WAU,7/30/2024,23.5,74.3,18,64.4,30.7,87.26,0,0,302,4.8,,1011,
WAU,7/31/2024,24.5,76.1,19,66.2,31,87.8,0.2,0,291,8.9,,1013.5,
WAU,8/1/2024,22.4,72.32,18,64.4,27,80.6,18.8,0,59,7.4,,1014.2,
WAU,8/2/2024,22.5,72.5,17,62.6,28,82.4,5.6,0,331,9.4,,1014.9,
WAU,8/3/2024,23.4,74.12,18,64.4,28,82.4,0,0,25,6.7,,1015.3,
WAU,8/4/2024,23.5,74.3,17,62.6,29,84.2,0,0,98,5.7,,1015.6,
WAU,8/5/2024,21.9,71.42,19,66.2,24,75.2,12.7,0,38,11.2,,1016.5,
WAU,8/6/2024,16.9,62.42,14,57.2,20,68,5.8,0,35,17.1,,1016.8,
WAU,8/7/2024,18.3,64.94,13,55.4,23,73.4,0,0,51,6.9,,1017.4,
WAU,8/8/2024,18.7,65.66,12,53.6,24,75.2,0.2,0,293,9.1,,1014.3,
WAU,8/9/2024,14.7,58.46,11,51.8,19,66.2,0,0,273,15.4,,1016.2,
WAU,8/10/2024,16,60.8,10,50,22,71.6,0,0,264,17.2,,1018.4,
WAU,8/11/2024,17.7,63.86,12,53.6,23,73.4,0,0,281,12.1,,1019.3,
WAU,8/12/2024,19.5,67.1,13,55.4,26,78.8,0.1,0,295,9.2,,1020,
WAU,8/13/2024,20,68,14,57.2,26,78.8,0.9,0,353,5.7,,1020.6,
WAU,8/14/2024,19.9,67.82,13,55.4,26,78.8,0,0,71,6,,1021,
WAU,8/15/2024,19.3,66.74,18,64.4,21,69.8,15.7,0,142,10.3,,1014.6,
WAU,8/16/2024,22.1,71.78,18,64.4,27,80.6,22,0,268,8.5,,1009.1,
WAU,8/17/2024,20.6,69.08,18,64.4,25,77,2.4,0,300,13.8,,1009.6,
WAU,8/18/2024,19.5,67.1,17,62.6,24,75.2,2.1,0,339,12.8,,1015.2,
WAU,8/19/2024,18,64.4,13,55.4,22,71.6,0,0,11,11.4,,1021.3,
WAU,8/20/2024,15.3,59.54,10,50,21,69.8,0,0,30,8.3,,1025.3,
WAU,8/21/2024,14.9,58.82,8,46.4,22,71.6,0,0,30,5.8,,1026,
WAU,8/22/2024,16.1,60.98,8,46.4,23,73.4,0,0,353,4.6,,1024.9,
WAU,8/23/2024,18.5,65.3,12,53.6,24,75.2,0,0,222,7.5,,1023.2,
WAU,8/24/2024,20.9,69.62,13,55.4,28,82.4,0,0,51,5.1,,1021.8,
WAU,8/25/2024,25.3,77.54,17,62.6,32.4,90.32,0,0,183,8.3,,1019,
WAU,8/26/2024,27.9,82.22,23,73.4,34.1,93.38,0,0,210,8.8,,1016,
WAU,8/27/2024,27,80.6,21.8,71.24,33.7,92.66,3.8,0,245,7.7,,1014.3,
WAU,8/28/2024,24.1,75.38,20.6,69.08,26.1,78.98,0,0,20,14.8,,1018.2,
WAU,8/29/2024,21.8,71.24,19.4,66.92,24.4,75.92,0,0,74,10.4,,1020.4,
WAU,8/30/2024,23.5,74.3,17.8,64.04,27.8,82.04,7.9,0,254,13.3,,1015.8,
WAU,8/31/2024,23,73.4,17.2,62.96,28.9,84.02,0,0,271,12.2,,1015.9,
WAU,9/1/2024,21.9,71.42,15.6,60.08,22.8,73.04,0,0,357,14.4,,1017.3,
WAU,9/2/2024,18.6,65.48,13.3,55.94,23.3,73.94,0,0,331,8.6,,1025.4,
WAU,9/3/2024,18.8,65.84,13.3,55.94,24.4,75.92,0,0,153,9.7,,1025.9,
WAU,9/4/2024,17.5,63.5,9,48.2,26,78.8,0,0,137,7.8,,1025.1,
WAU,9/5/2024,19,66.2,13,55.4,27,80.6,1.9,0,267,9.6,,1020.3,
WAU,9/6/2024,13.6,56.48,8,46.4,17,62.6,0.2,0,354,13.3,,1021.7,
WAU,9/7/2024,10,50,5,41,16,60.8,0,0,333,10.9,,1023.4,
WAU,9/8/2024,14,57.2,4,39.2,22,71.6,0,0,275,11.9,,1020.5,
WAU,9/9/2024,18.9,66.02,13,55.4,26,78.8,0,0,267,14.8,,1019.5,
WAU,9/10/2024,18.3,64.94,11,51.8,26,78.8,0,0,197,7.9,,1019.3,
WAU,9/11/2024,20.3,68.54,15,59,28,82.4,0,0,235,6.3,,1018.3,
WAU,9/12/2024,19.4,66.92,11,51.8,28,82.4,0,0,42,6.4,,1019.8,
WAU,9/13/2024,19.6,67.28,13,55.4,27,80.6,0,0,39,6.6,,1020.4,
WAU,9/14/2024,20.5,68.9,13,55.4,28,82.4,0,0,59,7.3,,1021.2,
WAU,9/15/2024,20.7,69.26,15,59,28,82.4,0,0,66,6.6,,1021.8,
WAU,9/16/2024,20.1,68.18,12,53.6,30,86,0,0,44,5.5,,1021.8,
WAU,9/17/2024,18.9,66.02,12,53.6,28,82.4,0,0,56,5.6,,1019.7,
WAU,9/18/2024,18.1,64.58,10,50,27,80.6,0,0,39,5.1,,1016.5,
WAU,9/19/2024,20.5,68.9,11,51.8,30,86,0,0,129,8,,1013.5,
WAU,9/20/2024,20.9,69.62,13,55.4,28,82.4,0.6,0,265,10.4,,1010.7,
WAU,9/21/2024,20.1,68.18,11,51.8,29,84.2,0.2,0,29,6.3,,1013.3,
WAU,9/22/2024,16.8,62.24,13,55.4,20,68,8.9,0,352,8.3,,1013.2,
WAU,9/23/2024,14.6,58.28,9,48.2,19,66.2,1.9,0,24,8.2,,1016.2,
WAU,9/24/2024,15.2,59.36,12,53.6,18,64.4,18.7,0,354,7,,1010.3,
WAU,9/25/2024,16.3,61.34,11,51.8,23,73.4,0,0,285,10.7,,1013.9,
WAU,9/26/2024,16.8,62.24,11,51.8,24,75.2,0,0,54,7.3,,1017.5,
WAU,9/27/2024,17.6,63.68,12,53.6,22,71.6,0,0,44,14.2,,1014.5,
WAU,9/28/2024,18.3,64.94,13,55.4,24,75.2,0,0,34,17.8,,1013.9,
WAU,9/29/2024,18.2,64.76,13,55.4,24,75.2,0,0,36,13.9,,1017.8,
